"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D2,D5,D6","4","SK6812MINI-E","","","","LED_SMD:LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount","https://www.lcsc.com/datasheet/C5149201.pdf"
"D7,D8,D9,D10,D11,D12,D13,D14,D15","9","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Conn_01x04_Pin","","","","oled:SSD1306-0.91-OLED-4pin-128x32",""
"MX1","1","0,0","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX2","1","0,1","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX3","1","0,2","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX4","1","1,0","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX5","1","1,1","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX6","1","1,2","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX7","1","2,0","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX8","1","2,1","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"MX9","1","2,2","","","","marbastlib-xp-mx:SW_MX_Reversible_1u",""
"SW1","1","RotaryEncoder_Switch_MP","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",""
"U1","1","XIAO-RP2040-SMD","","","","Seeed_Studio_XIAO_Series:XIAO-RP2040-SMD",""
